Location Name,"Street Address (Required, street name and number)",City (Required),"State (Required, NN format)",Zip Code (Required),"Latitude (Optional, nnn.nnnnnn)","Longitude (Optional, nnn.nnnnnn)",Location Type (Optional),Location Group (Optional)
Rivertown School of Beauty Barber Skin Care and Nails,"4747 Hamilton Road, Suite E",Columbus,GA,31904,32.51013,-84.97068,,Midsize City
Platt College-Miller-Motte Technical-Columbus,1800 Box Rd,Columbus,GA,31907,32.479997,-84.935912,,Midsize City
Riveroak Technical College,415 SW Pinewood Dr,Live Oak,FL,32064,30.281999,-82.992512,,Remote Town
American Academy of Cosmetology,1330 Blanding Blvd Ste 125,Orange Park,FL,32065,30.123757,-81.798803,,Large Suburb
Fortis College-Orange Park,700 Blanding Blvd. Suite 16,Orange Park,FL,32065,30.148278,-81.759035,,Large Suburb
Flagler College,74 King Street,Saint Augustine,FL,32084,29.892733,-81.314887,,Small Suburb
North Florida Technical College,609 N Orange St,Starke,FL,32091,29.952308,-82.117224,,Distant Town
Daytona State College,1200 W. International Speedway Blvd.,Daytona Beach,FL,32114,29.203275,-81.049685,,Small City
Keiser University-Daytona,1800 Business Park Blvd.,Daytona Beach,FL,32114,29.204483,-81.074525,,Small City
International Academy,2550 S Ridgewood Ave,South Daytona,FL,32119,29.162159,-80.997811,,Large Suburb
Tenaj Salon Institute,11915 CR 103,The Villages,FL,32162,28.929944,-82.028094,,Small City
Flagler Technical College,5400 E. Highway 100,Palm Coast,FL,32164,29.47629,-81.211337,,Rural Fringe
Saint Johns River State College,5001 Saint Johns Ave,Palatka,FL,32177,29.647516,-81.681387,,Distant Town
First Coast Barber Academy,625 N Julia St.,Jacksonville,FL,32202,30.33211,-81.660201,,Large City
Florida State College at Jacksonville,501 W State St,Jacksonville,FL,32202,30.334918,-81.659901,,Large City
Trendsetters School of Beauty & Barbering,1033 Edgewood Ave South,Jacksonville,FL,32205,30.31194,-81.717211,,Large City
CDA Technical Institute,91 Trout River Drive,Jacksonville,FL,32208,30.392267,-81.646792,,Large City
Edward Waters College,1658 Kings Rd,Jacksonville,FL,32209,30.34479,-81.684879,,Large City
Keiser University-Jacksonville,"6430 Southpoint Parkway, Suite 100",Jacksonville,FL,32216,30.25906,-81.602771,,Large City
Tulsa Welding School-Jacksonville,3500 Southside Blvd,Jacksonville,FL,32216,30.282647,-81.560428,,Large City
Trinity Baptist College,800 Hammond Blvd,Jacksonville,FL,32221,30.311171,-81.79626,,Large City
Mayo Clinic College of Medicine and Science - Florida,4500 San Pablo Road,Jacksonville,FL,32224,30.264237,-81.440906,,Large City
Shear Finesse Beauty Academy,9200 Arlington Expressway #28,Jacksonville,FL,32225,30.319276,-81.558157,,Large City
Paul Mitchell the School-Jacksonville,"4624 Town Crossing Drive, Suite 155",Jacksonville,FL,32246,30.259433,-81.527515,,Large City
Chamberlain University-Florida,"5200 Belfort Road, Suite 100",Jacksonville,FL,32256,30.243517,-81.586421,,Large City
Florida Coastal School of Law,8787 Baypine Road,Jacksonville,FL,32256,30.232676,-81.580093,,Large City
Strayer University-Baymeadows Campus,8375 Dix Ellis Trail Ste 200,Jacksonville,FL,32256,30.21619,-81.569511,,Large City
Aveda Institute-Tallahassee,2020 W. Pensacola St.,Tallahassee,FL,32304,30.442037,-84.317892,,Midsize City
Florida Agricultural and Mechanical University,1500 S Martin Luther King Jr Blvd,Tallahassee,FL,32307,30.428504,-84.290226,,Midsize City
Keiser University-Tallahassee,1700 Halstead Blvd,Tallahassee,FL,32309,30.504039,-84.24769,,Midsize City
North Florida Cosmetology Institute,2424 Allen Rd,Tallahassee,FL,32312,30.476972,-84.294583,,Midsize City
North Florida College,325 NW Turner Davis Dr,Madison,FL,32340,30.473841,-83.420732,,Rural Fringe
Big Bend Technical College,3233 South Byron Butler Parkway,Perry,FL,32348,30.077954,-83.565783,,Rural Fringe
Gulf Coast State College,5230 West U.S. Highway 98,Panama City,FL,32401,30.185542,-85.727918,,Small City
Tom P Haney Technical Center,3016 Hwy 77 N,Panama City,FL,32405,30.203363,-85.646585,,Midsize Suburb
Emerald Coast Technical College,761 N 20th St,DeFuniak Springs,FL,32433,30.73209,-86.128061,,Distant Town
The Baptist College of Florida,5400 College Dr,Graceville,FL,32440,30.962708,-85.503931,,Distant Town
Pensacola School of Massage Therapy & Health Careers,2409 Creighton Rd,Pensacola,FL,32504,30.494755,-87.195529,,Small City
Florida Institute of Ultrasound Inc,8800 University Pky Ste A4,Pensacola,FL,32514,30.524582,-87.220895,,Small City
Fortis Institute-Pensacola,4081 E Olive Rd Ste B,Pensacola,FL,32514,30.510415,-87.183112,,Small City
Okaloosa Technical College,1976 Lewis Turner Blvd,Fort Walton Beach,FL,32547,30.46866,-86.614844,,Small City
Academy for Five Element Acupuncture,305 SE 2nd Ave,Gainesville,FL,32601,29.650075,-82.321994,,Midsize City
Dragon Rises College of Oriental Medicine,"1000 NE 16th Ave., Building F",Gainesville,FL,32601,29.667368,-82.312769,,Midsize City
Florida School of Traditional Midwifery,810 E University Ave,Gainesville,FL,32601,29.652269,-82.31585,,Midsize City
City College-Gainesville,7001 N.W. 4th Blvd.,Gainesville,FL,32607,29.654852,-82.417302,,Midsize Suburb
Summit Salon Academy-Gainesville,"6915 NW 4th Blvd., Suite B",Gainesville,FL,32607,29.654808,-82.416921,,Midsize Suburb
University of Florida,Tigert Hall,Gainesville,FL,32611,29.64629,-82.347911,,Midsize City
University of Florida-Online,341 Tigert Hall  300 SW 13th St,Gainesville,FL,32611,29.649413,-82.339848,,Midsize City
Cambridge Institute of Allied Health & Technology,"460 E. Altamonte Drive, 3rd Floor",Altamonte Springs,FL,32701,28.66306,-81.375722,,Large Suburb
Aviation Institute of Maintenance-Orlando,2725 South US Highway 17/92,Casselberry,FL,32707,28.680653,-81.334196,,Large Suburb
City College-Altamonte Springs,177 Montgomery Road,Altamonte Springs,FL,32714,28.663604,-81.402219,,Large Suburb
Stetson University,421 N Woodland Blvd,DeLand,FL,32723,29.035475,-81.300746,,Small City
Lake Technical College,2001 Kurt Street,Eustis,FL,32726,28.833446,-81.690874,,Midsize Suburb
Remington College-Heathrow Campus,7131 Business Park Lane Ste. 300,Lake Mary,FL,32746,28.784765,-81.359465,,Large Suburb
Cortiva Institute-Maitland,2600 Lake Lucien Drive   Suite#240,Maitland,FL,32751,28.629921,-81.397179,,Large Suburb
Strayer University-Maitland Campus,"901 N. Lake Destiny Drive, #370",Maitland,FL,32751,28.637848,-81.389131,,Large Suburb
Paul Mitchell the School-Orlando,1285 Oviedo Mall Blvd,Oviedo,FL,32765,28.663679,-81.234215,,Large Suburb
L3Harris,2700 Flightline Ave,Sanford,FL,32773,28.77858,-81.251511,,Small City
Herzing University-Orlando,1865 SR 436,Winter Park,FL,32792,28.615784,-81.312669,,Large Suburb
AdventHealth University,671 Winyah Drive,Orlando,FL,32803,28.576142,-81.367687,,Large City
Concorde Career Institute-Orlando,3444 McCrory Place,Orlando,FL,32803,28.55984,-81.340421,,Large City
The Continents State University,M,Orlando,FL,32804,28.538045,-81.368734,,Large City
Keiser University-Orlando,5600 Lake Underhill Rd,Orlando,FL,32807,28.538123,-81.311924,,Large City
American College for Medical Careers,5959 Lake Ellenor Lake,Orlando,FL,32809,28.470997,-81.402271,,Large Suburb
Orange Technical College-Mid Florida Campus,2900 West Oak Ridge Road,Orlando,FL,32809,28.471695,-81.415996,,Large Suburb
Southern Technical College,1485 Florida Mall Avenue,Orlando,FL,32809,28.44862,-81.399661,,Large Suburb
University of Central Florida,4000 Central Florida Blvd,Orlando,FL,32816,28.602159,-81.200889,,Large Suburb
Strayer University-Sand Lake Campus,"8541 South Park Circle, Building 900",Orlando,FL,32819,28.438524,-81.425159,,Large Suburb
University of Phoenix-Florida,8325 S Park Circle,Orlando,FL,32819,28.445605,-81.419552,,Large Suburb
Polytechnic University of Puerto Rico-Orlando,550 N Econlockhatchee Tr,Orlando,FL,32825,28.55158,-81.253943,,Large Suburb
Florida Technical College,12900 Challenger Parkway,Orlando,FL,32826,28.573275,-81.196503,,Large Suburb
Strayer University-Orlando East Campus,2200 North Alafaya Trail Ste 500,Orlando,FL,32826,28.57391,-81.208306,,Large Suburb
Valencia College,1768 Park Center Drive,Orlando,FL,32835,28.520898,-81.471466,,Large City
Universal Technical Institute-Auto Motorcycle & Marine Mechanics Institute Division-Orlando,9751 Delegates Dr,Orlando,FL,32837,28.424285,-81.409713,,Large Suburb
Keiser University-Melbourne,900 S Babcock St,Melbourne,FL,32901,28.094849,-80.622998,,Small City
The Salon Professional Academy-Melbourne,1700 W. New Haven Avenue - Ste 540A,Melbourne,FL,32904,28.081445,-80.651439,,Small City
Eastern Florida State College,1519 Clearlake Rd,Cocoa,FL,32922,28.38361,-80.756474,,Large Suburb
Academy of Cosmetology,2088 N. Courtenay Parkway,Merritt Island,FL,32953,28.394053,-80.70372,,Large Suburb
College of Business and Technology-Hialeah,935 West 49 Street # 203,Hialeah,FL,33012,25.867003,-80.302213,,Large Suburb
Florida National University-Main Campus,4425 West. Jose Regueiro (20th) Avenue,Hialeah,FL,33012,25.86178,-80.321846,,Large Suburb
La Belle Beauty School,1495 West 49 Street,Hialeah,FL,33012,25.86695,-80.312711,,Large Suburb
More Tech Institute,1010 west 49th street,Hialeah,FL,33012,25.8659,-80.30405,,Large Suburb
Advance Science International College,5190 nw 167 st STE 200,Miami Lakes,FL,33014,25.924708,-80.284567,,Large Suburb
American Advanced Technicians Institute,6801 W 20th St,Hialeah,FL,33014,25.884901,-80.323025,,Large Suburb
Miami Lakes Educational Center and Technical College,5780 NW 158th Street,Miami Lakes,FL,33014,25.916128,-80.29513,,Large Suburb
Southeastern College-Miami Lakes,17395 NW 59th Avenue,Miami Lakes,FL,33015,25.930183,-80.297674,,Large Suburb
Sheridan Technical College,5400 Sheridan St,Hollywood,FL,33021,26.031736,-80.198024,,Large Suburb
Hollywood Institute of Beauty Careers,420 S. State Rd. 7,Hollywood,FL,33023,26.007139,-80.209125,,Large Suburb
ASM Beauty World Academy,6672 & 6674 Stirling Road,Hollywood,FL,33024,26.045461,-80.222145,,Large Suburb
Concorde Career Institute-Miramar,10933 Marks Way,Miramar,FL,33025,25.977088,-80.291516,,Large Suburb
Jose Maria Vargas University,10131 Pines Boulevard,Pembroke Pines,FL,33026,26.009656,-80.281548,,Large Suburb
DeVry University-Florida,2300 SW 145th Ave.,Miramar,FL,33027,25.987643,-80.339842,,Large Suburb
Keiser University-Pembroke Pines,1640 SW 145th Avenue,Pembroke Pines,FL,33027,25.994198,-80.339296,,Large Suburb
Strayer University-Miramar Campus,14479 Miramar Parkway,Miramar,FL,33027,25.980701,-80.339132,,Large Suburb
The College of the Florida Keys,5901 College Rd,Key West,FL,33040,24.582748,-81.74446,,Remote Town
Hollywood Institute,5000-C Coconut Creek Parkway,Margate,FL,33063,26.243429,-80.199738,,Large Suburb
Cortiva Institute-Pompano,2001 W Sample Rd Ste 100,Pompano Beach,FL,33064,26.275351,-80.150541,,Small City
Nouvelle Institute,3271 NW 7th St Suite#106,Miami,FL,33125,25.779494,-80.249645,,Large City
South Florida Institute of Technology,"720 NW 27th Avenue, 2nd Floor",Miami,FL,33125,25.780018,-80.239586,,Large City
Miami Media School,7955 NW 12 Street Suite 119,Doral,FL,33126,25.783576,-80.325673,,Small City
Lindsey Hopkins Technical College,750 NW 20 Street,Miami,FL,33127,25.794676,-80.208154,,Large City
Miami Ad School,571 NW 28th St,Miami,FL,33127,25.803,-80.204791,,Large City
Atlantis University,1442 Biscayne Boulevard,Miami,FL,33132,25.788978,-80.18942,,Large City
Mercy Hospital School of Practical Nursing-Plantation General Hospital,3663 S Miami Ave,Miami,FL,33133,25.740254,-80.213971,,Large City
New Professions Technical Institute,4000 W.  Flagler St.,Miami,FL,33134,25.771488,-80.261873,,Large City
SABER College,"3990 W Flagler St., Ste 103",Miami,FL,33134,25.771518,-80.261299,,Large City
New Concept Massage and Beauty School,2022 SW 1st St,Miami,FL,33135,25.77128,-80.228547,,Large City
Praxis Institute,1850 SW 8th St 4th Fl,Miami,FL,33135,25.765385,-80.225327,,Large City
Yeshivah Gedolah Rabbinical College,1140 Alton Rd,Miami Beach,FL,33139,25.782445,-80.141334,,Small City
George T Baker Aviation Technical College,3275 NW 42nd Ave,Miami,FL,33142,25.804092,-80.263591,,Large Suburb
Celebrity School of Beauty,8478 SW 8th St,Miami,FL,33144,25.76084,-80.333114,,Large Suburb
College of Business and Technology-Main Campus,8230 W Flagler St.,Miami,FL,33144,25.769052,-80.329161,,Large Suburb
Florida Education Institute,5818 SW 8th St,Miami,FL,33144,25.76325,-80.290496,,Large Suburb
Florida Vocational Institute,7757 West Flagler Suite 220,Miami,FL,33144,25.773542,-80.321789,,Large Suburb
La Belle Beauty Academy,7390 West Flagler Street,Miami,FL,33144,25.769614,-80.31582,,Large Suburb
University of Miami,University of Miami,Coral Gables,FL,33146,25.72126,-80.278662,,Small City
International Training Careers,7360 SW 24th Street  Suite 31,Miami,FL,33155,25.746905,-80.314727,,Large Suburb
City College-Miami,"9300 S Dadeland Blvd., Suite 200",Miami,FL,33156,25.683673,-80.316377,,Small City
Paul Mitchell the School-Miami,8905 Dadeland Blvd,Miami,FL,33156,25.68739,-80.313201,,Small City
College of Business and Technology-Cutler Bay,19151 South Dixie Hwy # 205,Cutler Bay,FL,33157,25.590468,-80.356565,,Large Suburb
Compu-Med Vocational Careers Corp,"11401 SW 40th Street, 1st Floor, Suite 150",Miami,FL,33165,25.73266,-80.380061,,Large Suburb
Miami Regional University,700 S Royal Poinciana Blvd,Miami Springs,FL,33166,25.810667,-80.267007,,Large Suburb
Polytechnic University of Puerto Rico-Miami,"8180 N.W. 36 St., Suite 401",Miami,FL,33166,25.80915,-80.328482,,Small City
Keiser University- Miami,2101 NW 117 Avenue,Miami,FL,33172,25.793574,-80.384129,,Large Suburb
Florida Career College-Miami,"1321 SW 107 Avenue, Suite 201B",Miami,FL,33174,25.756567,-80.36778,,Large Suburb
Universal Career School,10720 W Flagler School Ste 21,Sweetwater,FL,33174,25.767091,-80.370117,,Large Suburb
Acupuncture and Massage College,10506 N Kendall Drive,Miami,FL,33176,25.686382,-80.364141,,Small City
Johnson & Wales University-North Miami,1701 NE 127th St,North Miami,FL,33181,25.894337,-80.164797,,Large Suburb
Everglades University - Miami,11731 Mills Drive,Miami,FL,33183,25.690956,-80.383364,,Small City
Trinity International University-Florida,"9010 SW 137th Ave, Suite #101",Miami,FL,33186,25.68307,-80.417646,,Large Suburb
Florida International University,11200 S. W. 8 Street,Miami,FL,33199,25.75732,-80.373928,,Large Suburb
Broward College,111 East Las Olas Blvd,Fort Lauderdale,FL,33301,26.119422,-80.14183,,Midsize City
City College-Fort Lauderdale,2000 W. Commercial Boulevard,Fort Lauderdale,FL,33309,26.187467,-80.1705,,Midsize City
HCI College - Fort Lauderdale Campus,1201 Cypress Creek Rd. Suite 101,Fort Lauderdale,FL,33309,26.203916,-80.160343,,Midsize City
Keiser University-Ft Lauderdale,1500 NW 49th St.,Fort Lauderdale,FL,33309,26.185869,-80.163959,,Midsize City
Florida Academy of Health & Beauty,2901 West Oakland Park Blvd B16,Oakland Park,FL,33311,26.16627,-80.181569,,Large Suburb
Strayer University-Fort Lauderdale Campus,2307 West Broward Boulevard Suite 100,Fort Lauderdale,FL,33312,26.12229,-80.173641,,Midsize City
University of Fort Lauderdale,4131 NW 16th St,Lauderhill,FL,33313,26.147098,-80.204938,,Large Suburb
Florida Barber Academy,51 N State Road 7,Plantation,FL,33317,26.122056,-80.203691,,Large Suburb
William T McFatter Technical College,6500 Nova Drive,Davie,FL,33317,26.085022,-80.232201,,Large Suburb
Aveda Institute-South Florida,4186 S. University Drive,Davie,FL,33328,26.070447,-80.251766,,Large Suburb
Empire Beauty School-Lauderhill,4806 N University Dr,Lauderhill,FL,33351,26.18471,-80.251119,,Large Suburb
Jersey College,7775 West Oakland Park Boulevard,Sunrise,FL,33351,26.170022,-80.252688,,Small City
Palm Beach Atlantic University,901 S. Flagler Drive,West Palm Beach,FL,33401,26.7044,-80.05247,,Midsize City
Palm Beach Academy of Health & Beauty,1220-A 10th St,Lake Park,FL,33403,26.803621,-80.074979,,Large Suburb
Empire Beauty School-West Palm,4258  Okeechobee Blvd,West Palm Beach,FL,33409,26.705541,-80.107401,,Large Suburb
Southeastern College-West Palm Beach,1756 North Congress Avenue,West Palm Beach,FL,33409,26.702216,-80.085966,,Large Suburb
The Beauty Institute,2215 N Military Trl suite I,West  Palm Beach,FL,33409,26.710119,-80.111689,,Large Suburb
Strayer University-Palm Beach Gardens Campus,11025 RCA Center Dr Ste 200,Palm Beach Gardens,FL,33410,26.83921,-80.096271,,Small City
Keiser University-West Palm Beach,2085 Vista Parkway,West Palm Beach,FL,33411,26.713572,-80.151201,,Large Suburb
South University-West Palm Beach,9801 Belvedere Road,Royal Palm Beach,FL,33411,26.69215,-80.200219,,Large Suburb
Ultrasound Medical Institute,503 Royal Palm Beach Blvd,Royal Palm Beach,FL,33411,26.68295,-80.22826,,Large Suburb
Academy for Nursing and Health Occupations,5154 Okeechobee Blvd Ste 201,West Palm Beach,FL,33417,26.70653,-80.121497,,Large Suburb
Everglades University,"5002 T-Rex Avenue, Suite 100",Boca Raton,FL,33431,26.391218,-80.108331,,Small City
Robert Fiance Beauty Schools,552 E Woolbright Rd,Boynton Beach,FL,33435,26.513629,-80.060233,,Small City
South Florida Bible College and Theological Seminary,2200 SW 10th Street,Deerfield Beach,FL,33442,26.30294,-80.134508,,Small City
Medical Institute of Palm Beach,5821B Lake Worth Rd,Greenacres,FL,33463,26.620478,-80.134959,,Large Suburb
Cambridge College of Healthcare & Technology,"5150 Linton Blvd, Suite 340",Delray Beach,FL,33484,26.438379,-80.123788,,Small City
BFF Kidz Training,408 E Lumsden Rd,Brandon,FL,33511,27.923604,-82.280719,,Large Suburb
Artistic Nails and Beauty Academy-Tampa,4951-A Adamo Drive Ste 120,Tampa,FL,33605,27.951358,-82.403486,,Large City
Arizona College of Nursing-Tampa,"1411 N West Shore Blvd, Suite 200",Tampa,FL,33607,27.955614,-82.523369,,Large City
Everglades University - Tampa,5010 W. Kennedy Boulevard,Tampa,FL,33609,27.944505,-82.52916,,Large City
Aparicio-Levy Technical College,10119 East Ellicott Street,Tampa,FL,33610,27.990625,-82.332285,,Large Suburb
Strayer University-Florida,5650 Breckenridge Park Drive Suite 300,Tampa,FL,33610,27.997442,-82.35991,,Large Suburb
Shear Excellence Hair Academy,3663 & 3679 W. Waters Avenue,Tampa,FL,33614,28.027145,-82.503396,,Large Suburb
Faith Theological Seminary and Christian College,7607 Sheldon Road,Tampa,FL,33615,28.018844,-82.582376,,Large Suburb
Florida College,119 N Glen Arven Ave,Temple Terrace,FL,33617,28.034936,-82.383289,,Large Suburb
Summit Salon Academy,4802 Gunn Hwy Suite 144,Tampa,FL,33624,28.051825,-82.525411,,Large Suburb
Paul Mitchell the School-Tampa,7823 Citrus Park Town Center Mall,Tampa,FL,33625,28.06864,-82.574571,,Large Suburb
TechSherpas 365,10213 Wilsky Blvd,Tampa,FL,33625,28.04245,-82.565846,,Large Suburb
Keiser University-Tampa,5002 West Waters Avenue,Tampa,FL,33634,28.02461,-82.529401,,Large Suburb
National Personal Training Institute-Tampa,8411 Sunstate Street,Tampa,FL,33634,28.02675,-82.528321,,Large Suburb
Loraines Academy & Spa,1012 58th St N,Saint Petersburg,FL,33710,27.783077,-82.713964,,Large City
Cortiva Institute-Florida,2370 34th Street North,St. Petersburg,FL,33713,27.793547,-82.680031,,Large City
Galen College of Nursing-Tampa Bay,10200 Dr. Martin Luther King Jr. Street N,Saint Petersburg,FL,33716,27.865391,-82.648151,,Large City
National Aviation Academy of Tampa Bay,6225 Ulmerton Road,Clearwater,FL,33760,27.89484,-82.721372,,Large Suburb
American Institute of Beauty,3665 East Bay Drive Suite 164,Largo,FL,33771,27.915072,-82.749094,,Large Suburb
Schiller International University,8560 Ulmerton Road,Largo,FL,33771,27.893935,-82.757492,,Small City
Artistic Nails and Beauty Academy-Lakeland,985 E Memorial Blvd,Lakeland,FL,33801,28.053634,-81.94718,,Midsize City
Traviss Technical College,3225 Winter Lake Rd,Lakeland,FL,33803,27.995822,-81.892381,,Rural Fringe
Keiser University-Lakeland,2400 Interstate Drive,Lakeland,FL,33805,28.076491,-81.980557,,Midsize City
Sunstate Academy,2040 Colonial Blvd,Fort Myers,FL,33907,26.596006,-81.870312,,Small City
The Salon Professional Academy-Ft Myers,1388 Colonial Blvd,Fort Myers,FL,33907,26.595568,-81.887326,,Small City
Paul Mitchell the School-Fort Myers,9941 Interstate Commerce Drive,Fort Myers,FL,33913,26.495581,-81.792422,,Rural Fringe
Florida SouthWestern State College,8099 College Parkway,Fort Myers,FL,33919,26.552403,-81.887102,,Large Suburb
Hodges University,4501 Colonial Blvd,Fort Myers,FL,33966,26.610865,-81.821419,,Small City
Ave Maria School of Law,1025 Commons Circle,Naples,FL,34119,26.242138,-81.731358,,Large Suburb
Cozmo Beauty School,10347 Bonita Beach Rd SE Ste 103,Bonita Springs,FL,34135,26.330412,-81.780821,,Large Suburb
Immokalee Technical College,508 N 9th St,Immokalee,FL,34142,26.426526,-81.425148,,Distant Town
Manatee Technical College,6305 State Rd 70 East,Bradenton,FL,34203,27.447894,-82.481088,,Large Suburb
State College of Florida-Manatee-Sarasota,5840 26th St W,Bradenton,FL,34207,27.43804,-82.590887,,Large Suburb
Amslee Institute,5391 Lakewood Ranch Blvd Ste 203,Sarasota,FL,34240,27.379792,-82.43363,,Rural Fringe
Keiser University-Sarasota,6151 Lake Osprey Dr.,Sarasota,FL,34240,27.384562,-82.445749,,Rural Fringe
Meridian College,7020 Professional Pkwy E,Sarasota,FL,34240,27.380724,-82.425309,,Rural Fringe
Taylor College,5190 SE 125th Street,Belleview,FL,34420,29.039971,-82.062418,,Rural Fringe
College of Central Florida,3001 SW College Rd,Ocala,FL,34474,29.166079,-82.175692,,Small City
ATA Career Education,"7351 Spring Hill Drive, Suite 11",Spring Hill,FL,34606,28.452699,-82.595376,,Midsize Suburb
Bene's Career Academy,7027 US Hwy 19,New Port Richey,FL,34652,28.259612,-82.728584,,Large Suburb
Fred K Marchman Technical College,7825 Campus Dr.,New Port Richey,FL,34653,28.271196,-82.691779,,Large Suburb
Academy of Career Training,3501 W Vine St Ste 111,Kissimmee,FL,34741,28.306092,-81.439569,,Small City
Johnson University Florida,1011 Bill Beck Blvd,Kissimmee,FL,34744,28.302547,-81.363053,,Large Suburb
Osceola Technical College,501 Simpson Rd,Kissimmee,FL,34744,28.298648,-81.349696,,Large Suburb
Beacon College,105 E Main St,Leesburg,FL,34748,28.811281,-81.87415,,Midsize Suburb
Aviator College of Aeronautical Science and Technology,3800 St Lucie Blvd,Fort Pierce,FL,34946,27.48718,-80.367303,,Rural Fringe
Fortis Institute-Port Saint Lucie,9022 South US Highway 1,Port Saint Lucie,FL,34952,27.3016,-80.303751,,Midsize City
Keiser University-Port St Lucie,9400 Discovery Way,Port St Lucie,FL,34987,27.254949,-80.419933,,Rural Fringe
Central Alabama Community College,1675 Cherokee Rd,Alexander City,AL,35010,32.92478,-85.945266,,Distant Town
Alabama State College of Barber Styling,753 Main Street,Gardendale,AL,35071,33.643546,-86.810488,,Large Suburb
Talladega College,627 West Battle Street,Talladega,AL,35160,33.433472,-86.112704,,Distant Town
Strayer University-Alabama,"2 20th Street North, #150",Birmingham,AL,35203,33.513375,-86.80574,,Midsize City
Herzing University-Birmingham,280 West Valley Ave,Birmingham,AL,35209,33.468466,-86.832465,,Large Suburb
Fortis Institute-Birmingham,100 London Pkwy Ste 150,Birmingham,AL,35211,33.442921,-86.862659,,Midsize City
Paul Mitchell the School-Birmingham,1694 Montgomery Hwy Ste 124,Hoover,AL,35216,33.388978,-86.808018,,Small City
Birmingham-Southern College,900 Arkadelphia Road,Birmingham,AL,35254,33.513774,-86.850552,,Midsize City
Stillman College,3601 Stillman Boulevard,Tuscaloosa,AL,35401,33.200006,-87.585278,,Midsize City
University of Alabama System Office,500 University Blvd. East,Tuscaloosa,AL,35401,33.207015,-87.529594,,Midsize City
University of West Alabama,Station One,Livingston,AL,35470,32.588132,-88.186329,,Rural Remote
Bevill State Community College,1411 Indiana Avenue,Jasper,AL,35501,33.836929,-87.266406,,Distant Town
Athens State University,300 N Beaty St,Athens,AL,35611,34.806793,-86.964698,,Fringe Town
Northwest-Shoals Community College,800 George Wallace Blvd,Muscle Shoals,AL,35661,34.739788,-87.678089,,Small City
John C Calhoun State Community College,6250 U S Highway 31 N,Tanner,AL,35671,34.645844,-86.949674,,Rural Fringe
Paul Mitchell the School-Huntsville,3810 Sullivan St Ste F,Madison,AL,35758,34.681465,-86.752565,,Large Suburb
Alabama A & M University,4900 Meridian Street,Normal,AL,35762,34.783368,-86.568502,,Midsize City
Strayer University-Huntsville Campus,4955 Corporate Drive NW Suite 200,Huntsville,AL,35805,34.73206,-86.656041,,Midsize City
J. F. Drake State Community and Technical College,3421 Meridian St N,Huntsville,AL,35811,34.771858,-86.572885,,Midsize City
The Salon Professional Academy-Huntsville,"4925 University Drive, Suite 134",Huntsville,AL,35816,34.736145,-86.655724,,Midsize City
Oakwood University,7000 Adventist Blvd NW,Huntsville,AL,35896,34.756344,-86.652705,,Midsize City
University of Alabama in Huntsville,301 Sparkman Dr,Huntsville,AL,35899,34.724557,-86.640449,,Midsize City
Gadsden State Community College,1001 George Wallace Dr,Gadsden,AL,35903,33.994001,-85.991438,,Small City
New Beginning College of Cosmetology,421 Martling Road,Albertville,AL,35951,34.27871,-86.196931,,Distant Town
Northeast Alabama Community College,138  Highway 35,Rainsville,AL,35986,34.545471,-85.911664,,Rural Distant
J F Ingram State Technical College,5375 Ingram Rd,Deatsville,AL,36022,32.582312,-86.392369,,Large Suburb
Fortis College-Montgomery,3736 Atlanta Hwy,Montgomery,AL,36109,32.384006,-86.252163,,Midsize City
South University-Montgomery,5355 Vaughn Rd,Montgomery,AL,36116,32.342684,-86.216488,,Midsize City
Fortis College-Montgomery,3470 Eastdale Cir,Montgomery,AL,36117,32.385245,-86.201216,,Midsize City
Jacksonville State University,700 Pelham Road North,Jacksonville,AL,36265,33.822938,-85.765321,,Small Suburb
Southern Union State Community College,750 Roberts St,Wadley,AL,36276,33.128785,-85.572382,,Rural Remote
Fortis College-Dothan,200 Vulcan Way,Dothan,AL,36303,31.243014,-85.37446,,Small City
Reid State Technical College,100 and Hwy 83,Evergreen,AL,36401,31.460265,-86.964797,,Rural Fringe
Fortis College-Foley,200 East Laurel Avenue,Foley,AL,36535,30.40611,-87.681828,,Fringe Town
Blue Cliff Career College,"2970 Cottage Hill Rd., Suite 175",Mobile,AL,36606,30.670281,-88.114952,,Midsize City
Cardiac and Vascular Institute of Ultrasound,2936 North McVay Drive,Mobile,AL,36606,30.650045,-88.112324,,Midsize City
Fortis College,7033 Airport Blvd.,Mobile,AL,36608,30.68413,-88.205581,,Midsize City
Remington College-Mobile Campus,828 Downtowner Loop W,Mobile,AL,36609,30.671139,-88.145035,,Midsize City
Selma University,"1501 Lapsley St, Dinkins Hall",Selma,AL,36701,32.420387,-87.032392,,Distant Town
Judson College,302 Bibb St,Marion,AL,36756,32.629253,-87.315206,,Rural Remote
Auburn University,M,Auburn,AL,36849,32.599378,-85.488258,,Small City
Chattahoochee Valley Community College,2602 College Drive,Phenix City,AL,36869,32.42391,-85.031485,,Rural Fringe
Empire Beauty School-Nashville,7106 Moore's Ln,Brentwood,TN,37027,35.967868,-86.814676,,Large Suburb
Hussian College-Daymar College Clarksville,2691 Trenton Road,Clarksville,TN,37040,36.582865,-87.312856,,Midsize City
North Central Institute,168 Jack Miller Blvd,Clarksville,TN,37042,36.61484,-87.425177,,Midsize City
